SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,I go into class and spend most of the day attempting to stay focused. Lunch break. I’m prepared to eat lunch by myself in the cafeteria again.,default,SPRING,BG classroom
,,,,
M,The past few weeks have flown byXYZ and I’ve began to adjust to my new high school life. There are days harder than othersXYZ but meeting new people and even going to school and doing schoolwork have helped a lot.,default,SPRING,BG classroom
,,,,
M,...and then there’s Haruka. I find that the better days are when I get to walk home and chat with her.,default,SPRING,BG classroom
,,,,
M,I hear Haruka giggling softly with a group of people around her.,default,SPRING,BG classroom
,,,,
MC,Must be nice to have such a radiating aura around yourself like that…,none,SPRING,BG classroom
,,,,
M,Haruka momentarily stops her conversation and peers over at me. She smiles and waves.,default,SPRING,BG classroom
,,,,
MC,That’s right… we’re friendsXYZ too.,none,SPRING,BG classroom
,,,,
M,To my surpriseXYZ Haruka gets out of her seat and walk towards my desk.,default,SPRING,BG classroom
,,,,
Haruka,Would you like to eat inside the classroom together? I made extra bento.,joy,SPRING,BG classroom
,,,,
MC,O-OhXYZ yeahXYZ that sounds great.,none,SPRING,BG classroom
,,,,
M,Homemade bento… it’s been a while.,default,SPRING,BG classroom
,,,,
M,We spend time eating and exchanging normal small talk about life and classes. It’s just small talk about daily thingsXYZ yet somehow it never feels boring or repetitive with Haruka. She always manages to emit this positive aura.,default,SPRING,BG classroom
,,,,
M,As she continues telling me a funny story about our old literature teacherXYZ I take a bite of the breaded katsu she prepared.,default,SPRING,BG classroom
,,,,
MC,Ahhh that was so good! Where’d you learn to cook so well?,none,SPRING,BG classroom
,,,,
Haruka,My mom taught me! She used to spend a lot of time cutting fruit into cute shapesXYZ shaping things into hearts. And somehow made it taste really delicious too,default2,SPRING,BG classroom
,,,,
M,Haruka’s mother seems really caringXYZ I can see where Haruka gets it from. I remember my own Mom would make me lunches to take to schoolXYZ even up until…,default,SPRING,BG classroom
,,,,
M,...,default,SPRING,BG classroom
,,,,
MC,That’s sweetXYZ does she still make you lunch still?,none,SPRING,BG classroom
,,,,
M,Haruka shyly fidgets and looks down at her foodXYZ continuing to eat.,default,SPRING,BG classroom
,,,,
Haruka,UmmXYZ You see...,sad2,SPRING,BG classroom
,,,,
M,I was worried at her expression at firstXYZ but her voice seemed calm and open as she began to speak.,sad,SPRING,BG classroom
,,,,
Haruka,Before I entered high schoolXYZ my father passed away in an accident. So my mom works full-time now to support my brother and I...,sad,SPRING bittersweet,BG classroom
,,,,
M,As Haruka’s words began to fade offXYZ I felt a surge of guilt in my chest. Before I could apologize howeverXYZ Haruka’s demeanor perks up as quickly as it dimmed down.,default,SPRING bittersweet,BG classroom
,,,,
Haruka,She taught me everything she knewXYZ before she went back to work. So in a way I still get to enjoy her lunches. She’s really amazing!,joy2,SPRING bittersweet,BG classroom
,,,,
MC,Oh… I’m sorryXYZ I didn’t…,none,SPRING bittersweet,BG classroom
,,,,
Haruka,Mm! Don’t worry about itXYZ I don’t mind sharing. I’m glad you liked it thoughXYZ hehe. I’ve been practicing a lot lately.,default,SPRING bittersweet,BG classroom
,,,,
M,Haruka smiles at meXYZ seemingly unbothered.,default,SPRING bittersweet,BG classroom
,,,,
Haruka,How about you? Is your mother a good chefXYZ too?,smile,SPRING bittersweet,BG classroom
,,,,
MC,...,none,SPRING bittersweet,BG classroom
,,,,
M,I don’t know how to answer that. I want to make sure Haruka is okayXYZ since I may have unintentionally brought up painful memories for herXYZ but…,default,SPRING bittersweet,BG classroom
,,,,
M,How do I do that when the spotlight is on me now? I don’t know how to really answer while being fully honest...,default,SPRING bittersweet,BG classroom
,,,,
M,A familiar feeling emerges. The same emotion I felt when I was deep in thought while walking Haruka home that one day… sending me to a strange place where I collected keys until I knew what to say.,default,SPRING bittersweet,BG classroom
,,,,
M,Wherever I’m goingXYZ please let it help me unlock the right thing to say.,default,SPRING bittersweet,BG classroom
