SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,I tried and tried to think but…,default,NONE,BG grass1
,,,,
M,I just couldn’t remember who she was.,default,NONE,BG grass1
,,,,
MC,I’m really sorryXYZ but…,none,NONE,BG grass1
,,,,
MC,Who... are you...?,none,NONE,BG grass1
,,,,
M,As the words left my mouthXYZ I could see a hint of hurt appear on the girl’s face.,default,SUMMER bittersweet,BG grass1
,,,,
Natsuki,… Natsuki. Natsuki Kawakami.,tsundere,SUMMER bittersweet,BG grass1
,,,,
M,As soon as she said her nameXYZ I felt a flood of nostalgia take over.,default,SUMMER bittersweet,BG grass1
,,,,
M,Natsuki and I grew up togetherXYZ and I spent the majority of my summer vacations with her.,default,SUMMER bittersweet,BG grass1
,,,,
M,That isXYZ until I moved away.,default,SUMMER bittersweet,BG grass1
,,,,
M,She cried a bunch of tears that dayXYZ and yelled at her parents for not letting her come with me.,default,SUMMER bittersweet,BG grass1
,,,,
M,How could I forget?,default,SUMMER bittersweet,BG grass1
,,,,
MC,NatsukiXYZ shoot. Of course I remember! It’s so nice to be in the same school again.,none,SUMMER bittersweet,BG grass1
,,,,
Natsuki,Idiot! Not nice enough for you to rememberXYZ I guess. Hmph.,surprise,SUMMER bittersweet,BG grass1
,,,,
Natsuki,...It is nice to see your big dumb face again too.,tsundere_blush,SUMMER bittersweet,BG grass1
,,,,
MC,Heh. I’m sorry thoughXYZ for not realizing earlier.,none,SUMMER bittersweet,BG grass1
,,,,
Natsuki,WhateverXYZ I don’t care. It’s been years anywaysXYZ I just remembered you c-cause…,surprise2,SUMMER bittersweet,BG grass1
,,,,
Natsuki,Cause who else has an idiot face like you! I could spot it a mile a way…,surprise2,SUMMER bittersweet,BG grass1
,,,,
M,Those words hung in the air. They didn’t mean to butXYZ they made me feel even more ashamed.,default,SUMMER bittersweet,BG grass1
,,,,
Natsuki,A-Anyways… I have to go back to practice so…,surprise_blush,SUMMER bittersweet,BG grass1
,,,,
Natsuki,Feel free to show your stupid face here again. If you want.,surprise_blush,SUMMER bittersweet,BG grass1
,,,,
M,She runs off before I could say anything back.,default,SUMMER bittersweet,BG grass1
,,,,
MC,Natsuki…,none,SUMMER bittersweet,BG grass1
,,,,
MC,Sorry…,none,SUMMER bittersweet,BG grass1
