SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,And thenXYZ a flood of childhood memories instantly hit me.,default,NONE,BG grass1
,,,,
MC,!!!,none,NONE,BG grass1
,,,,
MC,Natsuki? Natsuki Kawakami?,none,NONE,BG grass1
,,,,
M,Natsuki’s face lights up instantly.,default,SUMMER happy,BG grass1
,,,,
Natsuki,Yeah you big idiot!! What took you so long???,surprise2_blush,SUMMER happy,BG grass1
,,,,
Natsuki,HmmphXYZ whatever. I guess I have matured into quite the beautyXYZ fufufu~,smile,SUMMER happy,BG grass1
,,,,
M,Wrong. WellXYZ at least her height hasn’t changed much.,default,SUMMER happy,BG grass1
,,,,
M,HoweverXYZ she has certainly…,default,SUMMER happy,BG grass1
,,,,
M,changed...,default,SUMMER happy,BG grass1
,,,,
M,Natsuki and I grew up together in this townXYZ and I spent the majority of my summer vacations with her.,default,SUMMER happy,BG grass1
,,,,
M,That isXYZ until I moved away.,default,SUMMER happy,BG grass1
,,,,
M,She cried a bunch of tears that dayXYZ and yelled at her parents for not letting her come with me.,default,SUMMER happy,BG grass1
,,,,
M,I let out a relieving sigh. With all the cosmetic changes to my hometownXYZ it was reassuring to something familiar.,default,SUMMER happy,BG grass1
,,,,
MC,HehXYZ I guess you have grown up a bit. And wowXYZ look at you! You’re track captain now.,none,SUMMER happy,BG grass1
,,,,
MC,I remember you always loved the outdoors as a kid. We really got into some trouble because of some of your ideasXYZ you know.,none,SUMMER happy,BG grass1
,,,,
Natsuki,My ideas??? It’s only because your baby butt BEGGED to come along.,surprise2,SUMMER happy,BG grass1
,,,,
M,WrongXYZ again. She always clinged to me. But she never liked to admit it.,default,SUMMER happy,BG grass1
,,,,
Natsuki,AnywaysXYZ don’t be a stranger. We’re schoolmates nowXYZ kay?? I have to get back to practice.,surprise,SUMMER happy,BG grass1
,,,,
MC,Definitely. It was nice to see you againXYZ Natsuki.,none,SUMMER happy,BG grass1
,,,,
Natsuki,HmmphXYZ whatever.,tsundere_blush,SUMMER happy,BG grass1
,,,,
M,Her dismissive words contradicted the smile that I knew she was holding back.,default,SUMMER happy,BG grass1
,,,,
M,It truly was nice to see her again.,default,SUMMER happy,BG grass1
