SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,...I analyzed the situationXYZ over and overXYZ but…,default,SPRING,default
,,,,
M,I just couldn’t figure out how to approach the subject. Maybe it’s just a coincidence after all.,default,SPRING,default
,,,,
M,Before I could think of anything to sayXYZ Haruka stops in front of a small apartment complex.,default,SPRING,default
,,,,
Haruka,WellXYZ this is where I live. Thank you for walking me all this way.,default,SPRING,default
,,,,
MC,No problem. WellXYZ see you tomorrow,none,SPRING,default
,,,,
Haruka,See… you...,sad2_blush,SPRING,default
,,,,
M,As I make my way down the streetXYZ I can’t help but feel as if there was a slight sound of disappointment in her words.,default,SPRING,default
,,,,
M,And the fact she seemed to not recognize me earlier still seems… far fetched…,default,SPRING,default
,,,,
M,I do my best to shake it off. It’s probably all just in my headXYZ right?,default,SPRING,default
,,,,
M,At leastXYZ I’ve met someone new at this school.,default,SPRING,default
