SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,The answer hits me like cold water to the face. That’s right!,default,SPRING,BG grass2
,,,,
M,How could she not recognize me earlierXYZ if she noticed that I was lost? That seems highly unlikely. I’ll ask her about that.,default,SPRING,BG grass2
,,,,
M,Before I could say anythingXYZ Haruka stops in front of a small apartment complex.,default,SPRING,BG grass1
,,,,
Haruka,WellXYZ this is where I live. Thank you for walking me all this way.,default,SPRING,BG grass1
,,,,
MC,…,none,SPRING,BG grass1
,,,,
MC,HarukaXYZ before you go… can I ask you something?,none,none,BG grass1
,,,,
Haruka,Hm?,default,none,BG grass1
,,,,
MC,EarlierXYZ when I was lostXYZ you acted like you didn’t recognize meXYZ but…,none,none,BG grass1
,,,,
MC,You knew who I wasXYZ right? Since you said you saw me pass the classroom.,none,none,BG grass1
,,,,
M,Haruka’s surprised look slowly melts into a shy smile.,default,none,BG grass1
,,,,
Haruka,Mm… you caught meXYZ haha. I...,default2,SPRING bittersweet,BG grass1
,,,,
Haruka,...I actually knew you were the transfer student all along. Even when we were at the road with cherry blossoms. In a small townXYZ there’s no way I wouldn’t recognize you unless you were a new student.,default2,SPRING bittersweet,BG grass1
,,,,
Haruka,And then today... I saw you pass by our class a few times and I could tell you were lost. So I thought it was a perfect opportunity to talk to you.,neutral_blush,SPRING bittersweet,BG grass1
,,,,
MC,Talk to me? Why me?,none,SPRING bittersweet,BG grass1
,,,,
Haruka,Because I wanted to be the one to help youXYZ since...,sad2_blush,SPRING bittersweet,BG grass1
,,,,
Haruka,I actually only transferred here a year agoXYZ last Spring. Due to unfortunate circumstancesXYZ I had to leave my high school midway and start a new life here.,sad2_blush,SPRING bittersweet,BG grass1
,,,,
Haruka,So I know what it feels like to feel overwhelmedXYZ and it can get pretty lonely if you have no one to talk toXYZ so…,surprise2_blush,SPRING bittersweet,BG grass1
,,,,
Haruka,… let’s get alongXYZ okay?,joy2_blush,SPRING,BG grass1
,,,,
M,Her voice trails off at the endXYZ that I could barely catch the last part. I let out a relieving laugh and feel my nerves subside. For the first time in a whileXYZ I felt like I had made a friend. A friend I could relate to.,default,SPRING,BG grass1
,,,,
MC,YesXYZ I’d really like that. If we’re going to get alongXYZ don’t be afraid to be up front with meXYZ okay? AnywaysXYZ sorry to ask that out of the blueXYZ I’ll let you get going.,none,SPRING,BG grass1
,,,,
MC,I’ll see you tomorrowXYZ Haruka.,none,SPRING,BG grass1
,,,,
M,I waveXYZ and start walking away. But out of the corner of my eye,default,SPRING,BG grass1
,,,,
M,I realize Haruka was the same shade of red I was when we first met.,default,SPRING,BG grass1
