SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
Haruka, ...which is why I thinkXYZ we should enjoy timeXYZ while it’s in the present.,default,SPRING,default
MC, ...,none,SPRING,default
M, I went back to that place but... I couldn’t do it.,default,SPRING,default
M, I can’t ruin this moment. And like Haruka said... I should just enjoy the moment now.,default,SPRING,default
MC, You’re right... there’s nothing to be afraid of. Thank you for coming hereXYZ Haruka.,none,SPRING,default
Haruka, A-Ah... yeahXYZ of course!,default,SPRING,default
MC, ...hey...next Spring...,none,SPRING,default
MC, I wonder what will be different about this town... and how this place will look againXYZ when the cherry blossoms are in bloom,none,SPRING,default
Haruka, AhXYZ yeah! Our high school was newXYZ so who knows what else might be new next yearXYZ hehe.,default,SPRING,default
Haruka, At least we know the cherry blossoms will be prettyXYZ just like last springXYZ right?,default,SPRING,default
MC, MhmXYZ definitely.,none,SPRING,default
M, Next Spring...,default,SPRING,default
M, I wonder where we’ll be. Perhaps she’ll still be hereXYZ in this little town... helping her mom out... enjoying family and friends,default,SPRING,default
M, And maybe I’ll be in a university far away. Maybe I’ll forget about the short yearXYZ back in this town... I turn to Haruka.,default,SPRING,default
Haruka, Hm?,default,SPRING,default
M, No... I can’t forget her. At leastXYZ not yetXYZ not right now...,default,SPRING,default
M, Because right now even though it’s winter and the trees lack color and the sky is dim,default,SPRING,default
M, It’s SpringXYZ to me. I’m back to where the cherry blossoms are in full blossom. I’m back to starting a new term. I’m back to my first day at school.,default,SPRING,default
M, And I’m back to where I first met Haruka.,default,SPRING,default
M, HarukaXYZ it’s going to hurt when we go our separate ways. It’s going to hurt like hellXYZ but,default,SPRING,default
M, Even if those things are temporary...,default,SPRING,default
M, The barren trees prove to me how dull life would be without temporary treasures in life.,default,SPRING,default
M, So if somehowXYZ we cross paths againXYZ just like that Spring day we met...,default,SPRING,default
M, Please reach out to me again.,default,SPRING,default
