SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
Haruka, ...which is why I thinkXYZ we should enjoy time--,default,SPRING,default
MC, Even if it takes away you?,none,SPRING,default
Haruka, E-Eh?,default,SPRING,default
MC, I’ve… taken your adviceXYZ I really have. I’m cherishing all this time we’re spending together but…,none,SPRING,default
MC, I can’t help but think of after we graduateXYZ you know? No more walking home together... no more tasting your homemade lunches...,none,SPRING,default
MC, I can forgive time for taking away cherry blossomsXYZ because they’ll just come back next yearXYZ but...,none,SPRING,default
MC, What about time taking away... you…?,none,SPRING,default
M, Haruka looked at me with a stunned face. I don’t know what came over me but...,default,SPRING,default
M, I don’t regret it. Haruka is a precious friend. I shouldn’t hide my feelings around her.,default,SPRING,default
Haruka, ...I’m...glad…,default,SPRING,default
MC, H-Huh?,none,SPRING,default
M, Haruka says in a quiet voice. I could barely hear her words.,default,SPRING,default
Haruka, I’m... I’m glad you said that,default,SPRING,default
Haruka, Because... I’m afraid too.,default,SPRING,default
MC, !,none,SPRING,default
Haruka, I’m afraid of time taking away thingsXYZ againXYZ too. I’m afraid of not seeing my friends after graduation. I’m afraid of starting a new life again. I’m afraid...,default,SPRING,default
Haruka, I’m afraid of losing youXYZ too.,default,SPRING,default
MC, Haruka...,none,SPRING,default
Haruka, And I wish I could guarantee that these times wouldn’t endXYZ but I can’t do that. I can’t even convince myself thatXYZ but...,default,SPRING,default
Haruka, Surely if... time led me to meet you. I’m sure...,default,SPRING,default
Haruka, It will lead me to youXYZ again.,default,SPRING,default
MC, Haha... that is so much like youXYZ you know.,none,SPRING,default
M, That’s right. Time led me to herXYZ too. I don’t know where we’ll be going after graduation. I don’t even know if our paths will even cross again.,default,SPRING,default
M, Of courseXYZ I want them toXYZ but...,default,SPRING,default
M, For nowXYZ I am content. In this little placeXYZ even though it’s winter and the trees lack color and the sky is dim,default,SPRING,default
M, It’s SpringXYZ to me. I’m back to where the cherry blossoms are in full blossom. I’m back to starting a new term. I’m back to my first day at school.,default,SPRING,default
M, And I’m back to where I first met Haruka.,default,SPRING,default
M, Those things... will never be temporary to me.,default,SPRING,default
M, Because after thisXYZ even if time passes byXYZ and I never see Haruka againXYZ even if we never cross paths or say a word to each other after this wonderful moment,default,SPRING,default
M, I will alwaysXYZ always...,default,SPRING,default
M, Have those memories from last Spring.,default,SPRING,default
