SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,I tried to thinkXYZ but… I just couldn’t find the words to express myself.,default,WINTER,BG hallway
,,,,
MC,N-No... I didn’t hear much of itXYZ sorry.,none,WINTER,BG hallway
,,,,
Touka,Ah… I see...,neutral2,WINTER,BG hallway
,,,,
Touka,…,lookback,WINTER,BG hallway
,,,,
Touka,Well. If you would like to listen againXYZ I am usually here. If you’re ever looking for me… you can ask for Touka Akamatsu...,neutral,WINTER,BG hallway
,,,,
MC,Really? If it’s not a botherXYZ I will certainly come here again. It was nice meeting youXYZ Touka.,none,WINTER,BG hallway
,,,,
Touka,Mhm...,neutral2,WINTER,BG hallway
,,,,
M,As I turn around to leaveXYZ I swear I could still feel her gaze…,default,WINTER,BG hallway
,,,,
M,Almost colder than when we first met.,default,WINTER,BG hallway
,,,,
???,"Thanks for taking interest in Touka's route! Unfortunately for this buildXYZ we haven't yet implemented her story/levels.",none,NONE,BG black
,,,,
???,"If you would like experience the game from beginning to endXYZ please check out Haruka and Natsuki!",none,NONE,BG black
,,,,
???,Check back another time for the final build and thanks for playing!,,NONE,BG black
