SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
,,,,
M,...I know what to say.,default,WINTER,BG hallway
,,,,
MC,YesXYZ Clair de Lune. I used to hear it  a lot… when I was younger. It’s one of my favorite classics to hear on piano.,none,WINTER,BG hallway
,,,,
Touka,Clair de Lune… I’m glad you recognized it. Seems like you grew up with a piano in the house… must have been nice…,neutral_blush,WINTER,BG hallway
,,,,
MC,YeahXYZ we were lucky to afford one. UnfortunatelyXYZ we don’t have it any more thoughXYZ they take up a lot of space.,none,WINTER,BG hallway
,,,,
Touka,Mhm… and they’re an expensive investment. That’s why… I come here a lot. To practice. Not many people in this town are interested in this kind of musicXYZ to be honest. At least in a professional sense…,neutral2,WINTER,BG hallway
,,,,
M,Professional? She must be really serious about piano...,default,WINTER,BG hallway
,,,,
Touka,… I failed to introduce myself beforeXYZ but... my name is Touka Akamatsu. If you ever want to hear more DebussyXYZ or discuss classics… feel free to come by...,lookback,WINTER,BG hallway
,,,,
Touka,I could… even teach you to play piano if you want to learn.,lookback_blush,WINTER,BG hallway
,,,,
M,Piano? I’ve always admired itXYZ but I never really learned to play myself. I don’t really have anything else to doXYZ I might as well learn. And maybe… learn more about Touka too.,default,WINTER,BG hallway
,,,,
MC,SureXYZ I would love to hear more piano some time. Nice to meet youXYZ Touka.,none,WINTER,BG hallway
,,,,
Touka,...likewise...,neutral_blush,WINTER,BG hallway
,,,,
M,Throughout our whole conversationXYZ Touka’s expression never changed. HoweverXYZ maybe it’s my imaginationXYZ but…her eyes seemed warmer than before.,default,WINTER,BG hallway
,,,,
M,Just a bit.,default,WINTER,BG hallway
,,,,
???,"Thanks for taking interest in Touka's route! Unfortunately for this build, we haven't yet implemented her story/levels.",,NONE,BG black
,,,,
???,"If you would like experience the game from beginning to end, please check out Haruka and Natsuki!",,NONE,BG black
,,,,
???,Check back another time for the final build and thanks for playing!,,NONE,BG black
